poa_code_2021,postcode,display_label
POA3228,3228,Postcode 3228
POA3230,3230,Postcode 3230
POA3231,3231,Postcode 3231
POA3232,3232,Postcode 3232
POA3233,3233,Postcode 3233
POA3234,3234,Postcode 3234
POA3235,3235,Postcode 3235
POA3236,3236,Postcode 3236
POA3237,3237,Postcode 3237
POA3238,3238,Postcode 3238
POA3239,3239,Postcode 3239
POA3240,3240,Postcode 3240
POA3241,3241,Postcode 3241
POA3242,3242,Postcode 3242
POA3243,3243,Postcode 3243
POA3249,3249,Postcode 3249
POA3250,3250,Postcode 3250
POA3251,3251,Postcode 3251
POA3254,3254,Postcode 3254
POA3260,3260,Postcode 3260
POA3264,3264,Postcode 3264
POA3265,3265,Postcode 3265
POA3266,3266,Postcode 3266
POA3267,3267,Postcode 3267
POA3268,3268,Postcode 3268
POA3269,3269,Postcode 3269
POA3270,3270,Postcode 3270
POA3271,3271,Postcode 3271
POA3272,3272,Postcode 3272
POA3273,3273,Postcode 3273
POA3274,3274,Postcode 3274
POA3275,3275,Postcode 3275
POA3276,3276,Postcode 3276
POA3277,3277,Postcode 3277
POA3278,3278,Postcode 3278
POA3279,3279,Postcode 3279
POA3280,3280,Postcode 3280
POA3281,3281,Postcode 3281
POA3282,3282,Postcode 3282
POA3283,3283,Postcode 3283
POA3284,3284,Postcode 3284
POA3285,3285,Postcode 3285
POA3286,3286,Postcode 3286
POA3287,3287,Postcode 3287
POA3289,3289,Postcode 3289
POA3292,3292,Postcode 3292
POA3293,3293,Postcode 3293
POA3294,3294,Postcode 3294
POA3300,3300,Postcode 3300
POA3301,3301,Postcode 3301
POA3302,3302,Postcode 3302
POA3303,3303,Postcode 3303
POA3304,3304,Postcode 3304
POA3305,3305,Postcode 3305
POA3309,3309,Postcode 3309
POA3310,3310,Postcode 3310
POA3311,3311,Postcode 3311
POA3312,3312,Postcode 3312
POA3314,3314,Postcode 3314
POA3315,3315,Postcode 3315
POA3317,3317,Postcode 3317
POA3318,3318,Postcode 3318
POA3319,3319,Postcode 3319
POA3321,3321,Postcode 3321
POA3322,3322,Postcode 3322
POA3323,3323,Postcode 3323
POA3324,3324,Postcode 3324
POA3325,3325,Postcode 3325
POA3328,3328,Postcode 3328
POA3329,3329,Postcode 3329
POA3330,3330,Postcode 3330
POA3331,3331,Postcode 3331
POA3332,3332,Postcode 3332
POA3333,3333,Postcode 3333
POA3334,3334,Postcode 3334
POA3335,3335,Postcode 3335
POA3336,3336,Postcode 3336
POA3337,3337,Postcode 3337
POA3338,3338,Postcode 3338
POA3340,3340,Postcode 3340
POA3341,3341,Postcode 3341
POA3342,3342,Postcode 3342
POA3345,3345,Postcode 3345
POA3350,3350,Postcode 3350
POA3351,3351,Postcode 3351
POA3352,3352,Postcode 3352
POA3355,3355,Postcode 3355
POA3356,3356,Postcode 3356
POA3357,3357,Postcode 3357
POA3358,3358,Postcode 3358
POA3360,3360,Postcode 3360
POA3361,3361,Postcode 3361
POA3363,3363,Postcode 3363
POA3364,3364,Postcode 3364
POA3370,3370,Postcode 3370
POA3371,3371,Postcode 3371
POA3373,3373,Postcode 3373
POA3374,3374,Postcode 3374
POA3375,3375,Postcode 3375
POA3377,3377,Postcode 3377
POA3378,3378,Postcode 3378
POA3379,3379,Postcode 3379
POA3380,3380,Postcode 3380
POA3381,3381,Postcode 3381
POA3384,3384,Postcode 3384
POA3385,3385,Postcode 3385
POA3387,3387,Postcode 3387
POA3388,3388,Postcode 3388
POA3390,3390,Postcode 3390
POA3391,3391,Postcode 3391
POA3392,3392,Postcode 3392
POA3393,3393,Postcode 3393
POA3395,3395,Postcode 3395
POA3396,3396,Postcode 3396
POA3400,3400,Postcode 3400
POA3401,3401,Postcode 3401
POA3407,3407,Postcode 3407
POA3409,3409,Postcode 3409
POA3412,3412,Postcode 3412
POA3413,3413,Postcode 3413
POA3414,3414,Postcode 3414
POA3415,3415,Postcode 3415
POA3418,3418,Postcode 3418
POA3419,3419,Postcode 3419
POA3420,3420,Postcode 3420
POA3423,3423,Postcode 3423
POA3424,3424,Postcode 3424
POA3427,3427,Postcode 3427
POA3428,3428,Postcode 3428
POA3429,3429,Postcode 3429
POA3430,3430,Postcode 3430
POA3431,3431,Postcode 3431
POA3432,3432,Postcode 3432
POA3433,3433,Postcode 3433
POA3434,3434,Postcode 3434
POA3435,3435,Postcode 3435
POA3437,3437,Postcode 3437
POA3438,3438,Postcode 3438
POA3440,3440,Postcode 3440
POA3441,3441,Postcode 3441
POA3442,3442,Postcode 3442
POA3444,3444,Postcode 3444
POA3446,3446,Postcode 3446
POA3447,3447,Postcode 3447
POA3448,3448,Postcode 3448
POA3450,3450,Postcode 3450
POA3451,3451,Postcode 3451
POA3453,3453,Postcode 3453
POA3458,3458,Postcode 3458
POA3460,3460,Postcode 3460
POA3461,3461,Postcode 3461
POA3462,3462,Postcode 3462
POA3463,3463,Postcode 3463
POA3464,3464,Postcode 3464
POA3465,3465,Postcode 3465
POA3467,3467,Postcode 3467
POA3468,3468,Postcode 3468
POA3469,3469,Postcode 3469
POA3472,3472,Postcode 3472
POA3475,3475,Postcode 3475
POA3477,3477,Postcode 3477
POA3478,3478,Postcode 3478
POA3480,3480,Postcode 3480
POA3482,3482,Postcode 3482
POA3483,3483,Postcode 3483
POA3485,3485,Postcode 3485
POA3487,3487,Postcode 3487
POA3488,3488,Postcode 3488
POA3489,3489,Postcode 3489
POA3490,3490,Postcode 3490
POA3491,3491,Postcode 3491
POA3494,3494,Postcode 3494
POA3496,3496,Postcode 3496
POA3498,3498,Postcode 3498
POA3500,3500,Postcode 3500
POA3501,3501,Postcode 3501
