sal_code_2021,sal_name_2021
SAL20238,Biggara
SAL20239,Billabong
SAL20240,Bimbourie
SAL20241,Bindi
SAL20242,Binginwarri
SAL20243,Bingo Munjie
SAL20244,Birchip
SAL20245,Birchip West
SAL20246,Birdwoodton
SAL20247,Birregurra
SAL20248,Bittern
SAL20249,Black Hill (Vic.)
SAL20250,Black Range (Vic.)
SAL20251,Black Rock (Vic.)
SAL20252,Blackburn
SAL20253,Blackburn North
SAL20254,Blackburn South
SAL20255,Blackwarry
SAL20256,Blackwood (Vic.)
SAL20257,Blairgowrie
SAL20258,Blakeville
SAL20259,Blampied
SAL20260,Blind Bight
SAL20261,Blowhard
SAL20262,Bo Peep
SAL20263,Bobinawarrah
SAL20264,Bochara
SAL20265,Bogong
SAL20266,Boho
SAL20267,Boho South
SAL20268,Boigbeat
SAL20269,Boinka
SAL20270,Boisdale
SAL20271,Bolangum
SAL20272,Bolinda
SAL20273,Bolton
SAL20274,Bolwarra (Vic.)
SAL20275,Bolwarrah
SAL20276,Bona Vista
SAL20277,Bonang
SAL20278,Bonbeach
SAL20279,Bonegilla
SAL20280,Boneo
SAL20281,Bonn
SAL20282,Bonnie Brook
SAL20283,Bonnie Doon (Vic.)
SAL20284,Bonshaw (Vic.)
SAL20285,Bookaar
SAL20286,Boola
SAL20287,Boolarong
SAL20288,Boolarra
SAL20289,Boolarra South
SAL20290,Boole Poole
SAL20291,Boolite
SAL20292,Boomahnoomoonah
SAL20293,Boonah (Vic.)
SAL20294,Boorcan
SAL20295,Boorhaman
SAL20296,Boorhaman East
SAL20297,Boorhaman North
SAL20298,Boorolite
SAL20299,Boorool
SAL20300,Boort
SAL20301,Boosey
SAL20302,Boralma
SAL20303,Bornes Hill
SAL20304,Boronia
SAL20305,Borung
SAL20306,Bostocks Creek
SAL20307,Botanic Ridge
SAL20308,Boundary Bend
SAL20309,Bowenvale
SAL20310,Boweya
SAL20311,Boweya North
SAL20312,Bowmans Forest
SAL20313,Bowser
SAL20314,Box Hill (Vic.)
SAL20315,Box Hill North
SAL20316,Box Hill South
SAL20317,Boxwood
SAL20318,Bradford
SAL20319,Bradvale
SAL20320,Braeside
SAL20321,Brandy Creek (Vic.)
SAL20322,Branxholme
SAL20323,Bravington
SAL20324,Braybrook
SAL20325,Breakaway Creek
SAL20326,Breakwater
SAL20327,Breamlea
SAL20328,Brenanah
SAL20329,Brewster
SAL20330,Briagolong
SAL20331,Briar Hill
SAL20332,Bridge Creek
SAL20333,Bridgewater (Vic.)
SAL20334,Bridgewater North
SAL20335,Bridgewater On Loddon
SAL20336,Bright (Vic.)
SAL20337,Brighton (Vic.)
SAL20338,Brighton East
SAL20339,Brim
SAL20340,Brimboal
SAL20341,Brimin
SAL20342,Brimpaen
SAL20343,Bringalbert
SAL20344,Brit Brit
SAL20345,Broadford
SAL20346,Broadmeadows (Vic.)
SAL20347,Broadwater (Vic.)
SAL20348,Brodribb River
SAL20349,Broken Creek
SAL20350,Bromley
SAL20351,Brookfield (Vic.)
SAL20352,Brooklyn (Vic.)
SAL20353,Brookville
SAL20354,Broomfield
SAL20355,Broughton (Vic.)
SAL20356,Brown Hill (Vic.)
SAL20357,Browns Plains (Vic.)
SAL20358,Bruarong
SAL20359,Brucknell
SAL20360,Brumby
SAL20361,Brunswick (Vic.)
SAL20362,Brunswick East
SAL20363,Brunswick West
SAL20364,Bruthen
SAL20365,Buangor
SAL20366,Buchan
SAL20367,Buchan South
SAL20368,Buckland (Vic.)
SAL20369,Buckley
SAL20370,Buckley Swamp
SAL20371,Buckrabanyule
SAL20372,Budgee Budgee (Vic.)
SAL20373,Budgeree
SAL20374,Budgerum East
SAL20375,Buffalo
SAL20376,Buffalo River
SAL20377,Bulart
SAL20378,Buldah
SAL20379,Bulga (Vic.)
SAL20380,Bulgana
SAL20381,Bulla (Vic.)
SAL20382,Bullaharre
SAL20383,Bullarook
SAL20384,Bullarto
SAL20385,Bullarto South
SAL20386,Bulleen
SAL20387,Bullengarook
SAL20388,Bullioh
SAL20389,Bullumwaal
SAL20390,Buln Buln
SAL20391,Buln Buln East
SAL20392,Bumberrah
SAL20393,Bunbartha
SAL20394,Bundalaguah
SAL20395,Bundalong
SAL20396,Bundalong South
SAL20397,Bundara
SAL20398,Bunding
SAL20399,Bundoora (Vic.)
SAL20400,Bung Bong
SAL20401,Bungador
SAL20402,Bungal
SAL20403,Bungalally
SAL20404,Bungaree (Vic.)
SAL20405,Bungeet
SAL20406,Bungeet West
SAL20407,Bungil (Vic.)
SAL20408,Bunguluke
SAL20409,Buninyong
SAL20410,Bunkers Hill
SAL20411,Bunyip
SAL20412,Bunyip North
SAL20413,Buragwonduc
SAL20414,Burkes Bridge
SAL20415,Burkes Flat
SAL20416,Burnbank
SAL20417,Burnewang
SAL20418,Burnley
SAL20419,Burnside (Vic.)
SAL20420,Burnside Heights
SAL20421,Burramboot
SAL20422,Burramine
SAL20423,Burramine South
SAL20424,Burrowye
SAL20425,Burrumbeet
SAL20426,Burwood (Vic.)
SAL20427,Burwood East
SAL20428,Bushfield
SAL20429,Bushy Park (Vic.)
SAL20430,Butchers Ridge
SAL20431,Buxton (Vic.)
SAL20432,Byaduk
SAL20433,Byaduk North
SAL20434,Byawatha
SAL20435,Bylands
SAL20436,Byrneside
SAL20437,Cabarita (Vic.)
SAL20438,Cabbage Tree
SAL20439,Cabbage Tree Creek
SAL20440,Cadello
SAL20441,Cairnlea
SAL20442,Calder Park
SAL20443,Caldermeade
SAL20444,California Gully
SAL20445,Calivil
SAL20446,Callawadda
SAL20447,Callignee
SAL20448,Callignee North
SAL20449,Callignee South
SAL20450,Calrossie
SAL20451,Calulu
SAL20452,Cambarville
SAL20453,Camberwell (Vic.)
SAL20454,Cambrian Hill
SAL20455,Campbellfield
SAL20456,Campbells Bridge
SAL20457,Campbells Creek
SAL20458,Campbells Forest
SAL20459,Campbelltown (Vic.)
SAL20460,Camperdown (Vic.)
SAL20461,Canadian
SAL20462,Canary Island
SAL20463,Caniambo
SAL20464,Cann River
SAL20465,Cannie
SAL20466,Cannons Creek
SAL20467,Cannum
SAL20468,Canterbury (Vic.)
SAL20469,Cape Bridgewater
SAL20470,Cape Clear
SAL20471,Cape Conran
SAL20472,Cape Otway
SAL20473,Cape Paterson
SAL20474,Cape Schanck
SAL20475,Cape Woolamai
SAL20476,Capel Sound
SAL20477,Capels Crossing
SAL20478,Carag Carag
SAL20479,Caralulup
SAL20480,Caramut
SAL20481,Carapooee
SAL20482,Carapooee West
SAL20483,Carapook
SAL20484,Carboor
SAL20485,Cardigan
SAL20486,Cardigan Village
SAL20487,Cardinia
SAL20488,Cardross
SAL20489,Cargerie
SAL20490,Carina (Vic.)
SAL20491,Caringal
SAL20492,Carisbrook
SAL20493,Carlisle River
SAL20494,Carlsruhe
SAL20495,Carlton (Vic.)
SAL20496,Carlton North
SAL20497,Carlyle
SAL20498,Carnegie
SAL20499,Carngham
SAL20500,Caroline Springs
SAL20501,Carpendeit
SAL20502,Carrajung
SAL20503,Carrajung Lower
SAL20504,Carrajung South
SAL20505,Carranballac
SAL20506,Carron
SAL20507,Carrum
SAL20508,Carrum Downs
SAL20509,Carwarp
SAL20510,Cashmore
SAL20511,Cassilis (Vic.)
SAL20512,Castella
SAL20513,Casterton
SAL20514,Castle Creek (Vic.)
SAL20515,Castle Donnington
SAL20516,Castlemaine
SAL20517,Catani
SAL20518,Cathcart (Vic.)
SAL20519,Cathkin
SAL20520,Catumnal
SAL20521,Caulfield
SAL20522,Caulfield East
SAL20523,Caulfield North
SAL20524,Caulfield South
SAL20525,Caveat
SAL20526,Cavendish
SAL20527,Ceres
SAL20528,Chadstone
SAL20529,Chandlers Creek
SAL20530,Chapel Flat
SAL20531,Chapple Vale
SAL20532,Charam
SAL20533,Charlemont
SAL20534,Charleroi
SAL20535,Charlton (Vic.)
SAL20536,Chatsworth (Vic.)
SAL20537,Chelsea
SAL20538,Chelsea Heights
SAL20539,Cheltenham (Vic.)
SAL20540,Chepstowe
SAL20541,Cherokee
SAL20542,Cherrypool
SAL20543,Cheshunt
SAL20544,Cheshunt South
SAL20545,Chesney Vale
SAL20546,Chetwynd
SAL20547,Chewton
