sal_code_2021,sal_name_2021,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
SAL20031,Alma (Vic.),201031013,Avoca,1.54,low
SAL20031,Alma (Vic.),215011391,St Arnaud,0.29,low
SAL20032,Almonds,216021412,Moira,100.0,high
SAL20033,Almurta,205031093,Wonthaggi - Inverloch,100.0,high
SAL20034,Alphington,206021110,Alphington - Fairfield,73.39,medium
SAL20034,Alphington,206071145,Clifton Hill - Alphington,26.61,low
SAL20035,Altona (Vic.),213021341,Altona,100.0,high
SAL20036,Altona Meadows,213021342,Altona Meadows,65.6,medium
SAL20036,Altona Meadows,213021345,Seabrook,17.56,low
SAL20036,Altona Meadows,213051363,Laverton,16.84,low
SAL20037,Altona North,213021343,Altona North,100.0,high
SAL20037,Altona North,213021344,Newport,0.0,low
SAL20038,Alvie,217031473,Colac Surrounds,91.71,high
SAL20038,Alvie,217031476,Otway,6.31,low
SAL20038,Alvie,217031475,Corangamite - South,1.9,low
SAL20038,Alvie,217031474,Corangamite - North,0.09,low
SAL20039,Amherst,201031017,Maryborough Surrounds,77.33,medium
SAL20039,Amherst,201031013,Avoca,18.06,low
SAL20039,Amherst,201021010,Creswick - Clunes,4.61,low
SAL20040,Amor,205041095,Moe - Newborough,82.06,medium
SAL20040,Amor,205011077,Mount Baw Baw Region,10.55,low
SAL20040,Amor,205041098,Yallourn North - Glengarry,7.14,low
SAL20040,Amor,205011078,Trafalgar (Vic.),0.26,low
SAL20040,Amor,205051101,Maffra,0.0,low
SAL20041,Amphitheatre,201031013,Avoca,84.05,medium
SAL20041,Amphitheatre,201031014,Beaufort,15.95,low
SAL20042,Anakie,203021486,Corio - Lovely Banks,60.41,medium
SAL20042,Anakie,203011034,Bannockburn,18.37,low
SAL20042,Anakie,203021043,Lara,14.16,low
SAL20042,Anakie,203021047,North Geelong - Bell Park,5.63,low
SAL20042,Anakie,203011035,Golden Plains - South,1.44,low
SAL20043,Ancona,204011057,Mansfield (Vic.),100.0,high
SAL20044,Anderson,205031093,Wonthaggi - Inverloch,100.0,high
SAL20045,Anglers Rest,205021082,Bruthen - Omeo,81.22,medium
SAL20045,Anglers Rest,204031069,Bright - Mount Beauty,18.78,low
SAL20046,Anglesea,203031049,Lorne - Anglesea,100.0,high
SAL20047,Annuello,215031403,Robinvale,93.25,high
SAL20047,Annuello,215031405,Swan Hill Surrounds,6.75,low
SAL20048,Antwerp,215011390,Nhill Region,100.0,high
SAL20049,Apollo Bay (Vic.),217031476,Otway,100.0,high
SAL20050,Appin (Vic.),215031402,Kerang,72.32,medium
SAL20050,Appin (Vic.),215031401,Gannawarra,26.89,low
SAL20050,Appin (Vic.),202031033,Loddon,0.79,low
SAL20051,Appin South,215031402,Kerang,72.32,medium
SAL20051,Appin South,215031401,Gannawarra,26.89,low
SAL20051,Appin South,202031033,Loddon,0.79,low
SAL20052,Apsley (Vic.),215011393,West Wimmera,100.0,high
SAL20053,Ararat,215011386,Ararat,88.48,medium
SAL20053,Ararat,215011387,Ararat Surrounds,10.38,low
SAL20053,Ararat,201031013,Avoca,0.88,low
SAL20053,Ararat,215011392,Stawell,0.26,low
SAL20054,Arawata,205031089,Korumburra,94.86,high
SAL20054,Arawata,205031090,Leongatha,5.14,low
SAL20055,Arbuckle,205051101,Maffra,80.99,medium
SAL20055,Arbuckle,205051102,Rosedale,18.5,low
SAL20055,Arbuckle,205051099,Alps - West,0.52,low
SAL20055,Arbuckle,204011057,Mansfield (Vic.),0.0,low
SAL20056,Arcadia (Vic.),216031593,Kialla,62.13,medium
SAL20056,Arcadia (Vic.),216031416,Shepparton - North,18.76,low
SAL20056,Arcadia (Vic.),216031594,Shepparton - South East,11.29,low
SAL20056,Arcadia (Vic.),216031418,Shepparton Surrounds - East,7.17,low
SAL20056,Arcadia (Vic.),204011055,Euroa,0.65,low
SAL20057,Arcadia South,216031593,Kialla,62.13,medium
SAL20057,Arcadia South,216031416,Shepparton - North,18.76,low
SAL20057,Arcadia South,216031594,Shepparton - South East,11.29,low
SAL20057,Arcadia South,216031418,Shepparton Surrounds - East,7.17,low
SAL20057,Arcadia South,204011055,Euroa,0.65,low
SAL20058,Archdale,201031017,Maryborough Surrounds,64.65,medium
SAL20058,Archdale,202031033,Loddon,21.89,low
SAL20058,Archdale,215011391,St Arnaud,13.46,low
SAL20059,Archdale Junction,201031017,Maryborough Surrounds,64.65,medium
SAL20059,Archdale Junction,202031033,Loddon,21.89,low
SAL20059,Archdale Junction,215011391,St Arnaud,13.46,low
SAL20060,Archerton,204011057,Mansfield (Vic.),98.19,high
SAL20060,Archerton,204021067,Wangaratta Surrounds,1.36,low
SAL20060,Archerton,204021064,Benalla Surrounds,0.37,low
SAL20060,Archerton,204011061,Upper Yarra Valley,0.08,low
SAL20060,Archerton,205051099,Alps - West,0.0,low
