poa_code_2021,postcode,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
POA3036,3036,213011332,Keilor Downs,0.0,low
POA3037,3037,213041575,Hillside,31.5,low
POA3037,3037,213041360,Taylors Hill,30.03,low
POA3037,3037,213011339,Sydenham,22.8,low
POA3037,3037,213011331,Delahey,15.66,low
POA3037,3037,213011340,Taylors Lakes,0.0,low
POA3038,3038,213011340,Taylors Lakes,63.02,medium
POA3038,3038,213011332,Keilor Downs,36.98,low
POA3039,3039,206031116,Moonee Ponds,100.0,high
POA3040,3040,206031501,Essendon (West) - Aberfeldie,48.51,low
POA3040,3040,206031502,Essendon - East,45.63,low
POA3040,3040,210011230,Niddrie - Essendon West,5.86,low
POA3041,3041,210011231,Strathmore,76.52,medium
POA3041,3041,206031501,Essendon (West) - Aberfeldie,23.38,low
POA3041,3041,210011227,Essendon Airport,0.1,low
POA3042,3042,210011226,Airport West,48.66,low
POA3042,3042,210011230,Niddrie - Essendon West,35.23,low
POA3042,3042,210011228,Keilor,16.12,low
POA3042,3042,210011534,Keilor East,0.0,low
POA3043,3043,210051245,Gladstone Park - Westmeadows,45.85,low
POA3043,3043,210051250,Tullamarine,36.71,low
POA3043,3043,210031439,Gowanbrae,17.39,low
POA3043,3043,210011228,Keilor,0.05,low
POA3044,3044,210031538,Pascoe Vale,57.06,low
POA3044,3044,206011109,Pascoe Vale South,35.5,low
POA3044,3044,210031537,Oak Park,6.51,low
POA3044,3044,206011498,Coburg - West,0.57,low
POA3044,3044,210031236,Coburg North,0.37,low
POA3045,3045,210051248,Melbourne Airport,99.98,high
POA3045,3045,210051250,Tullamarine,0.02,low
POA3046,3046,210031535,Glenroy - East,40.16,low
POA3046,3046,210031536,Glenroy - West,24.08,low
POA3046,3046,210031440,Hadfield,17.0,low
POA3046,3046,210031537,Oak Park,16.43,low
POA3046,3046,210031538,Pascoe Vale,2.32,low
POA3046,3046,210031439,Gowanbrae,0.0,low
POA3047,3047,210051242,Broadmeadows,64.56,medium
POA3047,3047,210051243,Campbellfield - Coolaroo,35.44,low
POA3048,3048,210051247,Meadow Heights,82.3,medium
POA3048,3048,210051243,Campbellfield - Coolaroo,17.7,low
POA3049,3049,210051245,Gladstone Park - Westmeadows,100.0,high
POA3051,3051,206041506,North Melbourne,100.0,high
POA3052,3052,206041124,Parkville,100.0,high
POA3052,3052,206011107,Brunswick West,0.0,low
POA3053,3053,206041117,Carlton,100.0,high
POA3054,3054,206071140,Carlton North - Princes Hill,100.0,high
POA3055,3055,206011107,Brunswick West,96.99,high
POA3055,3055,206011496,Brunswick - South,1.94,low
POA3055,3055,206011495,Brunswick - North,1.07,low
POA3056,3056,206011495,Brunswick - North,50.18,low
POA3056,3056,206011496,Brunswick - South,49.82,low
POA3057,3057,206011106,Brunswick East,96.02,high
POA3057,3057,206011496,Brunswick - South,2.24,low
POA3057,3057,206011495,Brunswick - North,1.74,low
POA3058,3058,206011498,Coburg - West,39.72,low
POA3058,3058,206011497,Coburg - East,35.87,low
POA3058,3058,210031236,Coburg North,23.89,low
POA3058,3058,206011109,Pascoe Vale South,0.51,low
POA3059,3059,210051246,Greenvale - Bulla,100.0,high
POA3060,3060,210031237,Fawkner,98.1,high
POA3060,3060,210051243,Campbellfield - Coolaroo,1.9,low
POA3061,3061,210051243,Campbellfield - Coolaroo,100.0,high
POA3062,3062,210051544,Roxburgh Park (South) - Somerton,100.0,high
POA3063,3063,210041240,Sunbury,50.89,low
POA3063,3063,210051246,Greenvale - Bulla,26.77,low
POA3063,3063,210051445,Mickleham - Yuroke,22.34,low
POA3064,3064,210051445,Mickleham - Yuroke,20.31,low
POA3064,3064,210051443,Craigieburn - South,18.93,low
POA3064,3064,210051545,Roxburgh Park - North,12.81,low
POA3064,3064,210051543,Craigieburn - West,11.37,low
POA3064,3064,210051442,Craigieburn - North,10.75,low
POA3064,3064,210051542,Craigieburn - North West,8.61,low
POA3064,3064,210051544,Roxburgh Park (South) - Somerton,8.29,low
POA3064,3064,210051441,Craigieburn - Central,7.06,low
POA3064,3064,209041225,Whittlesea,1.86,low
POA3065,3065,206071142,Fitzroy,100.0,high
POA3065,3065,206071143,Fitzroy North,0.0,low
POA3066,3066,206071141,Collingwood,100.0,high
POA3066,3066,206071145,Clifton Hill - Alphington,0.0,low
POA3067,3067,206071139,Abbotsford,100.0,high
POA3067,3067,206071145,Clifton Hill - Alphington,0.0,low
POA3068,3068,206071143,Fitzroy North,66.03,medium
POA3068,3068,206071145,Clifton Hill - Alphington,33.97,low
POA3070,3070,206021499,Northcote - East,59.65,low
POA3070,3070,206021500,Northcote - West,40.07,low
POA3070,3070,206021112,Thornbury,0.28,low
POA3071,3071,206021112,Thornbury,99.17,high
POA3071,3071,206021500,Northcote - West,0.83,low
POA3072,3072,209021428,Preston - East,61.35,medium
POA3072,3072,209021429,Preston - West,37.53,low
POA3072,3072,209021525,Reservoir - South East,1.05,low
POA3072,3072,209021526,Reservoir - South West,0.07,low
POA3073,3073,209021523,Reservoir - North East,29.0,low
POA3073,3073,209021526,Reservoir - South West,27.54,low
POA3073,3073,209021525,Reservoir - South East,24.36,low
POA3073,3073,209021524,Reservoir - North West,19.1,low
POA3074,3074,209041223,Thomastown,98.65,high
POA3074,3074,209041530,Lalor - West,1.35,low
POA3075,3075,209041530,Lalor - West,57.02,low
POA3075,3075,209041529,Lalor - East,42.81,low
POA3075,3075,209041223,Thomastown,0.17,low
POA3076,3076,209041431,Epping - East,39.27,low
POA3076,3076,209041433,Epping (Vic.) - West,36.21,low
POA3076,3076,209041432,Epping - South,24.52,low
POA3076,3076,209041530,Lalor - West,0.0,low
POA3078,3078,206021110,Alphington - Fairfield,73.39,medium
POA3078,3078,206071145,Clifton Hill - Alphington,26.61,low
POA3079,3079,209011200,Ivanhoe,73.08,medium
POA3079,3079,209011201,Ivanhoe East - Eaglemont,22.01,low
POA3079,3079,209011199,Heidelberg West,4.91,low
POA3081,3081,209011199,Heidelberg West,100.0,high
POA3082,3082,209041220,Mill Park - North,60.9,medium
POA3082,3082,209041221,Mill Park - South,39.1,low
POA3083,3083,209011196,Bundoora - East,31.27,low
POA3083,3083,209021205,Kingsbury,25.57,low
POA3083,3083,209041216,Bundoora - North,23.29,low
POA3083,3083,209041217,Bundoora - West,19.61,low
POA3083,3083,209011204,Watsonia,0.26,low
POA3084,3084,209011198,Heidelberg - Rosanna,58.98,low
POA3084,3084,209011203,Viewbank - Yallambie,26.27,low
POA3084,3084,209011201,Ivanhoe East - Eaglemont,14.75,low
