postcode,locality,state,type,status,lat,lng,sa1_code_2021,sa1_name_2021,sa2_code_2021,sa2_name_2021,lga_name,lga_code
3044,PASCOE VALE,VIC,Delivery Area,Updated 6-Feb-2020,-37.727,144.942,21003153837,Pascoe Vale,210031538,Pascoe Vale,Moreland,25250
3044,PASCOE VALE SOUTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7457735,144.9384576,21003153837,Pascoe Vale,210031538,Pascoe Vale,Moreland,25250
3045,MELBOURNE AIRPORT,VIC,Delivery Area,Updated 6-Feb-2020,-37.6679317,144.8401227,21005125008,Tullamarine,210051250,Tullamarine,Hume,23270
3046,GLENROY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7062465,144.9161373,21003153816,Oak Park,210031538,Pascoe Vale,Moreland,25250
3046,HADFIELD,VIC,Delivery Area,Updated 6-Feb-2020,-37.71,144.95,21003153816,Oak Park,210031538,Pascoe Vale,Moreland,25250
3046,OAK PARK,VIC,Delivery Area,Updated 6-Feb-2020,-37.718,144.919,21003153816,Oak Park,210031538,Pascoe Vale,Moreland,25250
3047,BROADMEADOWS,VIC,Delivery Area,Updated 6-Feb-2020,-37.6860869,144.9269889,21005124344,Dallas,210051243,Campbellfield - Coolaroo,Hume,23270
3047,DALLAS,VIC,Delivery Area,Updated 6-Feb-2020,-37.668,144.94,21005124344,Dallas,210051243,Campbellfield - Coolaroo,Hume,23270
3047,JACANA,VIC,Delivery Area,Updated 6-Feb-2020,-37.687232,144.9128564,21005124344,Dallas,210051243,Campbellfield - Coolaroo,Hume,23270
3048,COOLAROO,VIC,Delivery Area,Updated 6-Feb-2020,-37.6562333,144.9364069,21005124730,Meadow Heights,210051247,Meadow Heights,Hume,23270
3048,MEADOW HEIGHTS,VIC,Delivery Area,Updated 6-Feb-2020,-37.65,144.922,21005124730,Meadow Heights,210051247,Meadow Heights,Hume,23270
3049,ATTWOOD,VIC,Delivery Area,Updated 6-Feb-2020,-37.666,144.887,21005124553,Attwood,210051245,Gladstone Park - Westmeadows,Hume,23270
3049,WESTMEADOWS,VIC,Delivery Area,Updated 6-Feb-2020,-37.6779426,144.8843087,21005124553,Attwood,210051245,Gladstone Park - Westmeadows,Hume,23270
3050,ROYAL MELBOURNE HOSPITAL,VIC,Delivery Area,Updated 6-Feb-2020,-37.7989153,144.95617,,,,,Melbourne,24600
3051,HOTHAM HILL,VIC,Delivery Area,Updated 6-Feb-2020,-37.8009,144.953,20604150639,North Melbourne,206041506,North Melbourne,Melbourne,24600
3051,NORTH MELBOURNE,VIC,Delivery Area,Updated 6-Feb-2020,-37.7983816,144.9419122,20604150639,North Melbourne,206041506,North Melbourne,Melbourne,24600
3052,MELBOURNE UNIVERSITY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7983459,144.960974,20604112422,Parkville (Vic.),206041124,Parkville,Moreland,25250
3052,PARKVILLE,VIC,Delivery Area,Updated 6-Feb-2020,-37.7862363,144.9474178,20604112422,Parkville (Vic.),206041124,Parkville,Moreland,25250
3053,CARLTON,VIC,Delivery Area,Updated 6-Feb-2020,-37.798389,144.9694441,20604111750,Carlton (Vic.),206041117,Carlton,Melbourne,24600
3053,CARLTON SOUTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.804246,144.9660172,20604111750,Carlton (Vic.),206041117,Carlton,Melbourne,24600
3054,CARLTON NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.788805,144.9719823,20607114023,Carlton North,206071140,Carlton North - Princes Hill,Moreland,25250
3054,PRINCES HILL,VIC,Delivery Area,Updated 6-Feb-2020,-37.784,144.966,20607114023,Carlton North,206071140,Carlton North - Princes Hill,Moreland,25250
3055,BRUNSWICK SOUTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7723275,144.9495859,20601149621,Brunswick West,206011496,Brunswick - South,Moreland,25250
3055,BRUNSWICK WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.761,144.9419122,20601149621,Brunswick West,206011496,Brunswick - South,Moreland,25250
3055,MOONEE VALE,VIC,Delivery Area,Updated 6-Feb-2020,-37.761,144.9419122,20601149621,Brunswick West,206011496,Brunswick - South,Moreland,25250
3055,MORELAND WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.754229,144.945438,20601149621,Brunswick West,206011496,Brunswick - South,Moreland,25250
3056,BRUNSWICK,VIC,Delivery Area,Updated 6-Feb-2020,-37.7666099,144.9584302,20601149628,Brunswick (Vic.),206011496,Brunswick - South,Moreland,25250
3056,BRUNSWICK LOWER,VIC,Delivery Area,Updated 6-Feb-2020,-37.7666099,144.9584302,20601149628,Brunswick (Vic.),206011496,Brunswick - South,Moreland,25250
3056,BRUNSWICK NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7579505,144.9638343,20601149628,Brunswick (Vic.),206011496,Brunswick - South,Moreland,25250
3057,BRUNSWICK EAST,VIC,Delivery Area,Updated 6-Feb-2020,-37.769412,144.9804594,20601149627,Brunswick East,206011496,Brunswick - South,Moreland,25250
3057,LYGON STREET NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7714,144.972,20601149627,Brunswick East,206011496,Brunswick - South,Moreland,25250
3057,SUMNER,VIC,Delivery Area,Updated 6-Feb-2020,-37.7722,144.98,20601149627,Brunswick East,206011496,Brunswick - South,Moreland,25250
3058,BATMAN,VIC,Delivery Area,Updated 6-Feb-2020,-37.7345019,144.9630404,21003123618,Coburg North,210031236,Coburg North,Darebin,21890
3058,COBURG,VIC,Delivery Area,Updated 6-Feb-2020,-37.7412988,144.9666108,21003123618,Coburg North,210031236,Coburg North,Darebin,21890
