sa2_code_2021,total_population,median_age,median_household_income_weekly,median_personal_income_weekly,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,average_household_size,age_0_14_count,age_15_24_count,age_25_34_count,age_65_plus_count,age_0_14_pct,age_15_24_pct,age_25_34_pct,age_65_plus_pct,born_overseas_count,language_other_than_english_count,born_overseas_pct,language_other_than_english_pct,need_for_assistance_count,need_for_assistance_pct,couple_family_with_children_count,one_parent_family_count,other_family_count,total_families,couple_family_with_children_pct,one_parent_family_pct,family_households_count,non_family_households_count,total_households,family_households_pct,non_family_households_pct,lone_person_households_count,group_households_count,lone_person_households_pct,group_households_pct,no_car_households_count,one_car_households_count,two_car_households_count,three_plus_car_households_count,car_households_total,no_car_households_pct,two_plus_car_households_pct,owned_outright_count,owned_with_mortgage_count,rented_count,tenure_total,owned_outright_pct,owned_with_mortgage_pct,renters_pct,owner_occupied_pct,train_to_work_count,bus_to_work_count,tram_to_work_count,car_driver_to_work_count,walk_to_work_count,worked_from_home_count,travel_to_work_total,public_transport_to_work_pct,car_to_work_pct,walk_to_work_pct,worked_from_home_pct,rent_to_income_ratio
206061136,19119,34,2098,1343,3113,421,2200,1.8,1528,2014,6152,2407,7.99,10.53,32.18,12.59,6065,3809,31.72,19.92,793,4.15,3050,976,299,4286,71.16,22.77,4267,5416,9684,44.06,55.93,4348,1067,44.9,11.02,2133,5166,1848,417,9684,22.03,23.39,1837,2296,5320,9684,18.97,23.71,54.94,42.68,428,21,463,3084,794,5737,12757,7.15,24.17,6.22,44.97,0.2007
206061138,12953,47,2538,1428,3904,490,3146,2.1,1419,1508,1885,3521,10.95,11.64,14.55,27.18,3994,2587,30.83,19.97,474,3.66,2641,914,108,3350,78.84,27.28,3310,2234,5541,59.74,40.32,1946,286,35.12,5.16,479,2412,1773,811,5541,8.64,46.63,2368,1255,1712,5541,42.74,22.65,30.9,65.39,135,6,133,2220,191,2842,6603,4.15,33.62,2.89,43.04,0.1931
206061515,11192,32,2042,1412,2935,426,2000,1.6,590,1477,4486,939,5.27,13.2,40.08,8.39,4746,3093,42.41,27.64,171,1.53,1042,440,229,2404,43.34,18.3,2394,3748,6150,38.93,60.94,3231,520,52.54,8.46,1928,3314,681,173,6150,31.35,13.89,897,1028,4080,6150,14.59,16.72,66.34,31.3,530,22,162,1489,600,3626,7761,9.2,19.19,7.73,46.72,0.2086
206061516,9939,35,2001,1329,3086,395,2200,1.8,818,1037,3102,1423,8.23,10.43,31.21,14.32,3587,2474,36.09,24.89,408,4.11,1346,742,164,2232,60.3,33.24,2219,2802,5015,44.25,55.87,2351,448,46.88,8.93,1315,2589,847,200,5015,26.22,20.88,928,979,2977,5015,18.5,19.52,59.36,38.03,318,15,152,1320,435,2894,6082,7.97,21.7,7.15,47.58,0.1974
206071139,9088,33,2197,1354,3024,425,2167,1.9,737,855,3279,854,8.11,9.41,36.08,9.4,3090,2130,34,23.44,322,3.54,1448,427,129,2127,68.08,20.08,2108,2292,4398,47.93,52.11,1790,500,40.7,11.37,928,2474,792,162,4398,21.1,21.69,684,1183,2436,4398,15.55,26.9,55.39,42.45,135,52,262,1331,363,2849,6223,7.22,21.39,5.83,45.78,0.1934
206071140,8186,34,2355,1197,3081,541,2600,2.3,898,1101,2148,1264,10.97,13.45,26.24,15.44,1853,1166,22.64,14.24,240,2.93,1716,519,127,1951,87.95,26.6,1937,1524,3461,55.97,44.03,980,542,28.32,15.66,555,1745,892,237,3461,16.04,32.62,1030,647,1664,3461,29.76,18.69,48.08,48.45,18,26,252,1021,285,2399,5130,5.77,19.9,5.56,46.76,0.2297
206071141,9179,33,2130,1338,2817,425,2167,1.9,902,846,3348,650,9.83,9.22,36.47,7.08,3198,2277,34.84,24.81,356,3.88,1177,814,137,2109,55.81,38.6,2093,2396,4489,46.63,53.37,1914,486,42.64,10.83,1274,2389,630,124,4489,28.38,16.8,484,1011,2888,4489,10.78,22.52,64.34,33.3,72,45,246,1115,526,2825,5889,6.16,18.93,8.93,47.97,0.1995
206071142,10431,35,2194,1265,3072,451,2500,2,1069,987,3072,1156,10.25,9.46,29.45,11.08,3268,2399,31.33,23,407,3.9,1517,922,160,2273,66.74,40.56,2258,2306,4565,49.46,50.51,1747,557,38.27,12.2,1233,2372,724,160,4565,27.01,19.36,823,919,2685,4565,18.03,20.13,58.82,38.16,48,20,280,1044,654,2973,6186,5.63,16.88,10.57,48.06,0.2056
206071143,12781,36,2300,1241,3207,481,2500,2.2,1563,1291,3163,2003,12.23,10.1,24.75,15.67,3168,2039,24.79,15.95,632,4.94,2953,813,117,2956,99.9,27.5,2933,2560,5489,53.43,46.64,1886,670,34.36,12.21,1046,2807,1230,339,5489,19.06,28.58,1396,1211,2669,5489,25.43,22.06,48.62,47.49,41,32,325,1543,361,3720,7669,5.19,20.12,4.71,48.51,0.2091
206071145,9855,37,2529,1340,3533,500,2600,2.3,1508,842,2023,1419,15.3,8.54,20.53,14.4,2123,1344,21.54,13.64,410,4.16,2943,583,86,2472,119.05,23.58,2452,1505,3957,61.97,38.03,1194,311,30.17,7.86,373,2034,1198,323,3957,9.43,38.44,1144,1205,1557,3957,28.91,30.45,39.35,59.36,165,41,41,1494,160,2746,5796,4.26,25.78,2.76,47.38,0.1977
