poa_code_2021,total_population,median_age,median_household_income_weekly,median_personal_income_weekly,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,average_household_size,age_0_14_count,age_15_24_count,age_25_34_count,age_65_plus_count,age_0_14_pct,age_15_24_pct,age_25_34_pct,age_65_plus_pct,born_overseas_count,language_other_than_english_count,born_overseas_pct,language_other_than_english_pct,need_for_assistance_count,need_for_assistance_pct,couple_family_with_children_count,one_parent_family_count,other_family_count,total_families,couple_family_with_children_pct,one_parent_family_pct,family_households_count,non_family_households_count,total_households,family_households_pct,non_family_households_pct,lone_person_households_count,group_households_count,lone_person_households_pct,group_households_pct,no_car_households_count,one_car_households_count,two_car_households_count,three_plus_car_households_count,car_households_total,no_car_households_pct,two_plus_car_households_pct,owned_outright_count,owned_with_mortgage_count,rented_count,tenure_total,owned_outright_pct,owned_with_mortgage_pct,renters_pct,owner_occupied_pct,train_to_work_count,bus_to_work_count,tram_to_work_count,car_driver_to_work_count,walk_to_work_count,worked_from_home_count,travel_to_work_total,public_transport_to_work_pct,car_to_work_pct,walk_to_work_pct,worked_from_home_pct,rent_to_income_ratio
POA3570,837,49,1455,622,1618,230,1200,2.6,138,77,53,187,16.49,9.2,6.33,22.34,47,13,5.62,1.55,48,5.73,218,68,9,230,94.78,29.57,222,49,273,81.32,17.95,45,6,16.48,2.2,6,38,104,129,273,2.2,85.35,120,127,20,273,43.96,46.52,7.33,90.48,0,0,0,201,14,59,353,0,56.94,3.97,16.71,0.1581
POA3571,305,47,1375,611,1792,100,1198,2.6,57,26,38,83,18.69,8.52,12.46,27.21,10,0,3.28,0,22,7.21,96,32,0,88,109.09,36.36,88,27,111,79.28,24.32,25,3,22.52,2.7,3,17,39,51,111,2.7,81.08,55,25,12,111,49.55,22.52,10.81,72.07,0,0,0,72,18,47,158,0,45.57,11.39,29.75,0.0727
POA3572,137,48,1781,682,1937,250,1509,2.6,22,17,13,25,16.06,12.41,9.49,18.25,4,0,2.92,0,3,2.19,43,5,0,42,102.38,11.9,37,13,50,74,26,13,0,26,0,0,8,9,29,50,0,76,21,14,5,50,42,28,10,70,0,0,0,38,5,18,71,0,53.52,7.04,25.35,0.1404
POA3573,340,42,1228,692,1476,100,690,2.3,66,29,31,63,19.41,8.53,9.12,18.53,33,8,9.71,2.35,23,6.76,96,28,10,88,109.09,31.82,83,41,127,65.35,32.28,40,3,31.5,2.36,0,36,36,48,127,0,66.14,65,31,15,127,51.18,24.41,11.81,75.59,0,0,0,90,11,40,167,0,53.89,6.59,23.95,0.0814
POA3575,842,46,1060,634,1399,160,777,2.3,156,77,74,187,18.53,9.14,8.79,22.21,136,96,16.15,11.4,51,6.06,237,85,5,212,111.79,40.09,212,127,337,62.91,37.69,113,7,33.53,2.08,19,101,93,112,337,5.64,60.83,168,70,67,337,49.85,20.77,19.88,70.62,0,0,0,185,36,73,375,0,49.33,9.6,19.47,0.1509
POA3576,60,47,1174,612,1374,115,217,2.3,9,0,8,19,15,0,13.33,31.67,3,0,5,0,4,6.67,26,0,0,23,113.04,0,20,9,30,66.67,30,4,0,13.33,0,0,4,10,11,30,0,70,17,9,0,30,56.67,30,0,86.67,0,0,0,15,0,19,34,0,44.12,0,55.88,0.098
POA3579,5450,50,1050,588,1416,200,1000,2.2,908,482,489,1579,16.66,8.84,8.97,28.97,321,149,5.89,2.73,444,8.15,1407,576,58,1402,100.36,41.08,1378,826,2206,62.47,37.44,766,55,34.72,2.49,119,728,746,539,2206,5.39,58.25,1044,584,449,2206,47.33,26.47,20.35,73.8,0,6,0,1386,136,261,2195,0.27,63.14,6.2,11.89,0.1905
POA3580,1101,54,973,538,1319,200,1105,2.2,167,88,76,341,15.17,7.99,6.9,30.97,54,7,4.9,0.64,51,4.63,215,113,8,320,67.19,35.31,314,139,449,69.93,30.96,129,4,28.73,0.89,13,132,176,116,449,2.9,65.03,269,116,51,449,59.91,25.84,11.36,85.75,0,0,0,290,19,33,419,0,69.21,4.53,7.88,0.2055
POA3581,147,55,1321,635,1463,188,879,2.5,21,10,7,37,14.29,6.8,4.76,25.17,19,12,12.93,8.16,5,3.4,31,0,0,40,77.5,0,38,20,54,70.37,37.04,12,9,22.22,16.67,0,5,23,18,54,0,75.93,28,7,8,54,51.85,12.96,14.81,64.81,0,0,0,33,5,9,66,0,50,7.58,13.64,0.1423
POA3583,162,46,1399,510,1625,170,930,2.7,24,27,12,25,14.81,16.67,7.41,15.43,22,16,13.58,9.88,10,6.17,51,3,0,42,121.43,7.14,42,14,59,71.19,23.73,9,5,15.25,8.47,0,9,16,29,59,0,76.27,23,23,3,59,38.98,38.98,5.08,77.97,0,0,0,43,3,14,75,0,57.33,4,18.67,0.1215
POA3584,1138,42,1413,727,1807,200,1083,2.5,214,136,125,239,18.8,11.95,10.98,21,72,40,6.33,3.51,54,4.75,360,94,14,298,120.81,31.54,297,100,397,74.81,25.19,93,10,23.43,2.52,7,90,175,121,397,1.76,74.56,159,167,62,397,40.05,42.07,15.62,82.12,0,5,0,392,10,48,539,0.93,72.73,1.86,8.91,0.1415
POA3585,11508,38,1394,757,1804,235,1300,2.4,2214,1278,1683,2412,19.24,11.11,14.62,20.96,1484,1388,12.9,12.06,738,6.41,3420,1379,111,2992,114.3,46.09,2958,1507,4465,66.25,33.75,1359,149,30.44,3.34,319,1514,1703,826,4465,7.14,56.64,1576,1330,1400,4465,35.3,29.79,31.35,65.08,0,8,0,3791,257,371,5406,0.15,70.13,4.75,6.86,0.1686
POA3586,799,43,1656,784,1949,250,1300,2.7,161,93,67,112,20.15,11.64,8.39,14.02,31,18,3.88,2.25,34,4.26,273,40,0,213,128.17,18.78,209,66,270,77.41,24.44,57,7,21.11,2.59,5,37,106,123,270,1.85,84.81,118,101,39,270,43.7,37.41,14.44,81.11,0,0,0,303,8,46,431,0,70.3,1.86,10.67,0.151
POA3588,404,42,1283,592,1395,175,867,2.6,72,50,44,93,17.82,12.38,10.89,23.02,30,19,7.43,4.7,32,7.92,100,50,6,117,85.47,42.74,109,36,151,72.19,23.84,36,3,23.84,1.99,0,31,58,47,151,0,69.54,67,60,10,151,44.37,39.74,6.62,84.11,0,0,0,131,4,5,176,0,74.43,2.27,2.84,0.1364
POA3589,359,37,1781,828,2053,250,975,2.7,67,38,56,53,18.66,10.58,15.6,14.76,77,73,21.45,20.33,7,1.95,92,21,8,92,100,22.83,88,28,116,75.86,24.14,22,4,18.97,3.45,0,22,45,41,116,0,74.14,39,32,24,116,33.62,27.59,20.69,61.21,0,0,0,128,15,27,188,0,68.09,7.98,14.36,0.1404
POA3590,337,42,1390,687,1645,150,1000,2.6,64,31,38,47,18.99,9.2,11.28,13.95,26,17,7.72,5.04,15,4.45,118,15,0,91,129.67,16.48,89,23,113,78.76,20.35,22,0,19.47,0,4,18,42,41,113,3.54,73.45,47,40,17,113,41.59,35.4,15.04,76.99,0,0,0,90,9,21,163,0,55.21,5.52,12.88,0.1079
POA3591,163,49,1708,725,1916,135,1135,2.5,27,14,14,34,16.56,8.59,8.59,20.86,0,6,0,3.68,8,4.91,54,5,6,52,103.85,9.62,52,10,61,85.25,16.39,8,0,13.11,0,0,5,28,20,61,0,78.69,29,25,3,61,47.54,40.98,4.92,88.52,0,0,0,58,6,14,90,0,64.44,6.67,15.56,0.079
POA3594,536,46,1130,674,1474,210,867,2.1,67,40,91,105,12.5,7.46,16.98,19.59,92,83,17.16,15.49,32,5.97,101,55,5,148,68.24,37.16,142,83,222,63.96,37.39,76,12,34.23,5.41,14,69,83,54,222,6.31,61.71,100,70,43,222,45.05,31.53,19.37,76.58,0,0,0,172,10,15,254,0,67.72,3.94,5.91,0.1858
POA3595,673,45,979,485,1286,188,650,2.3,127,61,84,136,18.87,9.06,12.48,20.21,55,38,8.17,5.65,73,10.85,154,90,12,152,101.32,59.21,145,98,240,60.42,40.83,80,11,33.33,4.58,14,76,94,41,240,5.83,56.25,87,83,53,240,36.25,34.58,22.08,70.83,0,0,0,157,7,17,217,0,72.35,3.23,7.83,0.192
POA3596,103,51,1249,634,2150,220,1192,2.4,11,19,3,26,10.68,18.45,2.91,25.24,19,24,18.45,23.3,5,4.85,20,14,0,22,90.91,63.64,21,9,32,65.62,28.12,12,0,37.5,0,0,5,7,17,32,0,75,21,5,7,32,65.62,15.62,21.88,81.25,0,0,0,19,3,9,48,0,39.58,6.25,18.75,0.1761
POA3597,458,40,1583,827,1859,130,650,2.5,75,44,81,79,16.38,9.61,17.69,17.25,136,134,29.69,29.26,14,3.06,121,27,0,93,130.11,29.03,92,76,168,54.76,45.24,51,23,30.36,13.69,12,39,58,53,168,7.14,66.07,78,26,43,168,46.43,15.48,25.6,61.9,0,38,0,151,20,22,268,14.18,56.34,7.46,8.21,0.0821
POA3599,154,53,1531,752,1625,162,840,2.5,25,12,19,42,16.23,7.79,12.34,27.27,23,15,14.94,9.74,16,10.39,38,4,0,35,108.57,11.43,33,20,51,64.71,39.22,14,0,27.45,0,0,14,13,15,51,0,54.9,23,10,9,51,45.1,19.61,17.65,64.71,0,0,0,43,6,12,64,0,67.19,9.38,18.75,0.1058
POA3607,160,46,1416,825,1687,207,1300,2.4,20,28,15,23,12.5,17.5,9.38,14.37,18,9,11.25,5.62,6,3.75,46,14,0,39,117.95,35.9,42,16,55,76.36,29.09,16,0,29.09,0,0,7,21,26,55,0,85.45,28,16,3,55,50.91,29.09,5.45,80,0,0,0,39,6,10,79,0,49.37,7.59,12.66,0.1462
POA3608,2825,52,1183,676,1698,290,1437,2.1,410,216,259,858,14.51,7.65,9.17,30.37,299,145,10.58,5.13,185,6.55,645,259,13,763,84.53,33.94,748,441,1186,63.07,37.18,410,33,34.57,2.78,54,416,414,280,1186,4.55,58.52,587,312,245,1186,49.49,26.31,20.66,75.8,3,0,0,774,63,143,1207,0.25,64.13,5.22,11.85,0.2451
POA3610,1600,49,1122,587,1574,231,1200,2.2,208,142,205,370,13,8.88,12.81,23.12,167,54,10.44,3.38,96,6,371,125,0,389,95.37,32.13,380,218,595,63.87,36.64,197,18,33.11,3.03,25,160,217,180,595,4.2,66.72,280,182,106,595,47.06,30.59,17.82,77.65,0,0,0,387,22,113,633,0,61.14,3.48,17.85,0.2059
POA3612,1801,55,904,497,1236,195,1000,2.1,215,122,141,562,11.94,6.77,7.83,31.2,215,97,11.94,5.39,185,10.27,328,161,25,471,69.64,34.18,458,307,762,60.1,40.29,286,25,37.53,3.28,26,249,240,224,762,3.41,60.89,390,229,96,762,51.18,30.05,12.6,81.23,0,0,0,391,35,78,639,0,61.19,5.48,12.21,0.2157
POA3614,927,40,1993,901,2210,250,1517,2.8,211,98,97,125,22.76,10.57,10.46,13.48,41,15,4.42,1.62,31,3.34,395,45,0,257,153.7,17.51,257,55,313,82.11,17.57,51,7,16.29,2.24,3,49,130,131,313,0.96,83.39,97,159,38,313,30.99,50.8,12.14,81.79,0,0,0,326,8,71,491,0,66.4,1.63,14.46,0.1254
POA3616,5605,44,1381,723,1805,245,1300,2.4,1003,540,683,1268,17.89,9.63,12.19,22.62,598,490,10.67,8.74,404,7.21,1680,552,52,1506,111.55,36.65,1482,646,2131,69.54,30.31,594,52,27.87,2.44,77,622,812,574,2131,3.61,65.04,883,735,419,2131,41.44,34.49,19.66,75.93,0,4,0,1614,104,360,2561,0.16,63.02,4.06,14.06,0.1774
POA3617,161,46,1174,543,1343,230,1454,2.7,24,17,10,32,14.91,10.56,6.21,19.88,12,3,7.45,1.86,10,6.21,55,7,0,44,125,15.91,48,8,58,82.76,13.79,9,0,15.52,0,0,10,20,26,58,0,79.31,21,23,3,58,36.21,39.66,5.17,75.86,0,0,0,38,3,20,79,0,48.1,3.8,25.32,0.1959
POA3618,679,47,1030,557,1406,180,1083,2.3,93,71,72,156,13.7,10.46,10.6,22.97,88,51,12.96,7.51,56,8.25,141,84,0,181,77.9,46.41,178,88,262,67.94,33.59,73,16,27.86,6.11,9,77,106,67,262,3.44,66.03,109,95,51,262,41.6,36.26,19.47,77.86,0,0,0,192,3,42,290,0,66.21,1.03,14.48,0.1748
POA3620,8340,46,1202,643,1586,220,1268,2.4,1445,906,818,2171,17.33,10.86,9.81,26.03,643,401,7.71,4.81,624,7.48,2332,1001,51,2281,102.24,43.88,2240,1051,3288,68.13,31.96,993,57,30.2,1.73,173,1049,1183,808,3288,5.26,60.55,1390,1019,735,3288,42.27,30.99,22.35,73.27,0,0,0,2424,176,385,3653,0,66.36,4.82,10.54,0.183
POA3621,2437,41,1262,669,1608,200,1172,2.5,511,265,270,538,20.97,10.87,11.08,22.08,186,84,7.63,3.45,190,7.8,797,256,5,633,125.91,40.44,616,281,899,68.52,31.26,265,17,29.48,1.89,31,253,340,259,899,3.45,66.63,336,334,187,899,37.37,37.15,20.8,74.53,0,0,0,726,43,153,1128,0,64.36,3.81,13.56,0.1585
POA3622,537,41,1490,686,1718,150,1408,2.8,116,52,58,97,21.6,9.68,10.8,18.06,33,4,6.15,0.74,24,4.47,193,36,5,141,136.88,25.53,138,35,176,78.41,19.89,29,3,16.48,1.7,4,21,65,83,176,2.27,84.09,66,77,17,176,37.5,43.75,9.66,81.25,0,0,0,154,9,59,267,0,57.68,3.37,22.1,0.1007
POA3623,890,50,1125,575,1414,198,884,2.2,137,78,98,238,15.39,8.76,11.01,26.74,63,25,7.08,2.81,65,7.3,203,133,4,255,79.61,52.16,252,126,374,67.38,33.69,116,8,31.02,2.14,6,122,131,104,374,1.6,62.83,170,121,61,374,45.45,32.35,16.31,77.81,0,0,0,234,30,76,403,0,58.06,7.44,18.86,0.176
POA3624,563,42,1093,597,1399,180,1083,2.4,104,64,68,122,18.47,11.37,12.08,21.67,46,16,8.17,2.84,31,5.51,153,63,0,146,104.79,43.15,140,74,217,64.52,34.1,68,10,31.34,4.61,9,61,84,63,217,4.15,67.74,97,63,41,217,44.7,29.03,18.89,73.73,0,0,0,127,18,37,225,0,56.44,8,16.44,0.1647
POA3629,9536,43,1167,647,1494,250,1179,2.3,1620,1117,1192,2099,16.99,11.71,12.5,22.01,1095,819,11.48,8.59,798,8.37,2125,1484,88,2383,89.17,62.27,2338,1330,3669,63.72,36.25,1222,105,33.31,2.86,229,1357,1231,770,3669,6.24,54.54,1298,1124,1089,3669,35.38,30.64,29.68,66.01,0,9,0,2719,83,323,3893,0.23,69.84,2.13,8.3,0.2142
POA3630,32151,38,1287,678,1582,270,1248,2.4,6172,3909,4720,6284,19.2,12.16,14.68,19.55,7103,7508,22.09,23.35,2679,8.33,9207,4576,310,7919,116.26,57.79,7722,4250,11969,64.52,35.51,3778,474,31.56,3.96,800,4681,4198,2035,11969,6.68,52.08,3663,3305,4464,11969,30.6,27.61,37.3,58.22,0,33,0,9118,480,960,13262,0.25,68.75,3.62,7.24,0.2098
