year,suburb_key,postcode,suburb_name,lga_key,lga_name,total_offences,person_offences,property_offences,disorder_offences,other_offences,total_offence_percentile,person_crime_percentile,property_crime_percentile,disorder_crime_percentile,crime_context_score,crime_context_label,crime_context_summary,crime_context_score_raw
2025,MELBOURNE,3052,Melbourne,MELBOURNE,Melbourne,626,421,124,81,0,0.8901,0.9804,0.8106,0.8441,11.0,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",9.8
2025,MELBOURNE,3181,Melbourne,PORT PHILLIP,Port Phillip,13,12,1,0,0,0.5173,0.7184,0.1419,0.1417,64.2,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",57.0
2025,MELBOURNE AIRPORT,3045,Melbourne Airport,HUME,Hume,1247,109,975,161,2,0.9381,0.9026,0.9569,0.9007,9.1,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",8.1
2025,MELTON,3337,Melton,MELTON,Melton,2244,341,1091,808,4,0.9716,0.9739,0.9617,0.9833,3.2,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",2.8
2025,MELTON SOUTH,3338,Melton South,MELTON,Melton,1418,303,674,436,5,0.9465,0.967,0.9323,0.9607,5.1,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",4.5
2025,MELTON WEST,3337,Melton West,MELTON,Melton,1172,222,674,276,0,0.9339,0.9496,0.9323,0.9385,6.5,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",5.8
2025,MELVILLE FOREST,3315,Melville Forest,SOUTHERN GRAMPIANS,Southern Grampians,1,0,1,0,0,0.0546,0.1455,0.1419,0.1417,96.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",85.6
2025,MELWOOD,3875,Melwood,EAST GIPPSLAND,East Gippsland,3,0,2,1,0,0.2182,0.1455,0.2661,0.3474,87.6,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",77.8
2025,MENA PARK,3373,Mena Park,PYRENEES,Pyrenees,1,0,1,0,0,0.0546,0.1455,0.1419,0.1417,96.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",85.6
2025,MENTONE,3194,Mentone,KINGSTON,Kingston,909,112,594,203,0,0.9193,0.9047,0.9235,0.9162,9.8,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",8.7
2025,MENZIES CREEK,3159,Menzies Creek,CARDINIA; YARRA RANGES,Cardinia; Yarra Ranges,26,13,9,4,0,0.6217,0.7268,0.5761,0.5339,40.2,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",35.7
2025,MEPUNGA,3277,Mepunga,MOYNE,Moyne,1,1,0,0,0,0.0546,0.3566,0.0351,0.1417,88.2,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",78.3
2025,MEPUNGA EAST,3277,Mepunga East,MOYNE,Moyne,5,0,4,1,0,0.3319,0.1455,0.4181,0.3474,82.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",73.2
2025,MEPUNGA WEST,3277,Mepunga West,MOYNE,Moyne,2,1,0,1,0,0.1467,0.3566,0.0351,0.3474,83.6,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",74.2
2025,MERBEIN,3505,Merbein,MILDURA,Mildura,269,73,119,77,0,0.824,0.8685,0.8073,0.8407,17.5,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",15.5
2025,MERBEIN SOUTH,3505,Merbein South,MILDURA,Mildura,24,2,15,7,0,0.6097,0.4643,0.6446,0.6114,50.9,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",45.2
2025,MERBEIN WEST,3505,Merbein West,MILDURA,Mildura,14,1,6,7,0,0.5297,0.3566,0.5084,0.6114,61.6,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Public/drug/disorder offences are the largest recorded component; use this as context, not as a judgement of the suburb.",54.7
